epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.546,1.38757,2.91878,1.39165,0.61656,0.32007,0.34364,0.20941,1.58249,1.94336,1.70381,0.000276932,0.000276932,0.000276932
2,460.428,1.38677,1.68994,1.38668,0.48316,0.39794,0.41275,0.24242,1.54146,1.81206,1.65379,0.000536297,0.000536297,0.000536297
3,730.878,1.39592,1.63287,1.42035,0.58029,0.37793,0.40914,0.24575,1.51449,1.8506,1.71653,0.000777336,0.000777336,0.000777336
4,983.924,1.38015,1.49716,1.39988,0.47217,0.42872,0.43512,0.26581,1.43065,1.60307,1.5565,0.000750533,0.000750533,0.000750533
5,1209.46,1.34403,1.41167,1.38566,0.54747,0.44005,0.45713,0.29,1.39036,1.74612,1.55717,0.000723044,0.000723044,0.000723044
6,1363.19,1.31645,1.3598,1.38518,0.51294,0.47873,0.47772,0.29366,1.40484,1.38561,1.57919,0.000695555,0.000695555,0.000695555
7,1590.58,1.29384,1.27939,1.35979,0.49174,0.50864,0.4841,0.31022,1.3389,1.44406,1.51213,0.000668066,0.000668066,0.000668066
8,1754.06,1.24634,1.20129,1.33043,0.46198,0.53632,0.48907,0.30679,1.33374,1.41401,1.48988,0.000640577,0.000640577,0.000640577
9,1956.87,1.22578,1.1744,1.30082,0.61684,0.52119,0.5313,0.34177,1.28483,1.22857,1.43629,0.000613088,0.000613088,0.000613088
10,2251.02,1.2151,1.10849,1.2846,0.50015,0.55293,0.54366,0.34852,1.28652,1.19395,1.43091,0.000585599,0.000585599,0.000585599
11,2500.95,1.193,1.09061,1.26295,0.57642,0.57793,0.57556,0.37047,1.27582,1.16639,1.4286,0.00055811,0.00055811,0.00055811
12,2744.29,1.19021,1.03566,1.2663,0.55837,0.58558,0.5667,0.37175,1.24744,1.11211,1.40196,0.000530621,0.000530621,0.000530621
13,3102.29,1.17081,1.00601,1.25347,0.58867,0.5964,0.58406,0.38509,1.23995,1.10803,1.40891,0.000503132,0.000503132,0.000503132
14,3347.51,1.13785,0.9549,1.24151,0.6415,0.60237,0.61344,0.40883,1.21187,1.06309,1.38216,0.000475643,0.000475643,0.000475643
15,3523.92,1.13903,0.95214,1.2277,0.64314,0.6233,0.62305,0.42704,1.20733,1.08134,1.35708,0.000448154,0.000448154,0.000448154
16,3678.17,1.11716,0.9233,1.21665,0.65687,0.63276,0.63131,0.42712,1.20753,1.06589,1.36783,0.000420665,0.000420665,0.000420665
17,3868.61,1.10282,0.88667,1.19364,0.71025,0.61589,0.63212,0.42716,1.20168,1.01606,1.3615,0.000393176,0.000393176,0.000393176
18,6114.06,1.07894,0.86954,1.19049,0.65386,0.61422,0.65563,0.44602,1.18098,1.00884,1.33831,0.000365687,0.000365687,0.000365687
19,6527.6,1.08605,0.84543,1.19667,0.60697,0.60584,0.60776,0.40845,1.1893,1.00762,1.34868,0.000338198,0.000338198,0.000338198
20,6939.11,1.04929,0.83607,1.16388,0.67959,0.61886,0.63904,0.44007,1.16846,0.99336,1.31937,0.000310709,0.000310709,0.000310709
21,7352.97,1.02746,0.70964,1.15895,0.69002,0.6323,0.66084,0.45296,1.16294,0.98404,1.32789,0.00028322,0.00028322,0.00028322
22,7765.97,1.01465,0.67891,1.14264,0.73,0.60474,0.65273,0.44555,1.16374,0.97077,1.32354,0.000255731,0.000255731,0.000255731
23,8177.47,0.98337,0.64116,1.12295,0.72213,0.64014,0.68823,0.48084,1.14023,0.9422,1.30423,0.000228242,0.000228242,0.000228242
24,8590.15,0.98239,0.6313,1.11612,0.76488,0.62769,0.68607,0.47992,1.10289,0.90828,1.27233,0.000200753,0.000200753,0.000200753
25,9004.63,0.95893,0.60992,1.10851,0.74889,0.64512,0.69403,0.48865,1.10929,0.88604,1.28148,0.000173264,0.000173264,0.000173264
26,9417.1,0.94324,0.58186,1.09577,0.79457,0.64793,0.71658,0.50805,1.09983,0.87776,1.27335,0.000145775,0.000145775,0.000145775
27,9829.91,0.9296,0.55859,1.08196,0.76788,0.65869,0.70368,0.49706,1.10459,0.87716,1.27732,0.000118286,0.000118286,0.000118286
28,10526.6,0.90776,0.5433,1.07803,0.74806,0.67938,0.7158,0.51178,1.09284,0.84694,1.277,9.0797e-05,9.0797e-05,9.0797e-05
29,10936.3,0.90378,0.52944,1.07883,0.75609,0.68127,0.71639,0.5105,1.07714,0.85437,1.26146,6.3308e-05,6.3308e-05,6.3308e-05
30,11345.4,0.89161,0.52334,1.07007,0.73438,0.69113,0.72304,0.51862,1.0801,0.85363,1.26313,3.5819e-05,3.5819e-05,3.5819e-05
